,Density,PoreAvgVolume,henry_coeff
2245fN2.cif,0.701006,888.201,4.45619e-06
22000N2.cif,0.502401,6685.88,5.04968e-06
20490N2.cif,0.565759,5512.83,9.60368e-06
21451N2.cif,0.341797,9049.69,1.11434e-05
20491N2.cif,0.633766,4745.76,1.18985e-05
13181N3.cif,0.938079,534.953,2.02656e-05
14080N2.cif,0.363681,8411.79,4.62514e-06
15050N2.cif,1.04417,493.232,5.57803e-05
19102N2.cif,0.600086,3696.87,1.04556e-05
19430N2.cif,0.561339,5457.65,3.40973e-06
20410N2.cif,0.501955,8289.73,8.42696e-06
22181N2.cif,0.563201,1815.26,7.07379e-06
20150N2.cif,0.570294,5357.97,3.58334e-06
17180N2.cif,0.615116,3368.93,0.0100477
22040N2.cif,0.463885,11257.7,8.85362e-06
19182N2.cif,0.360794,9556.07,9.45107e-05
21131N2.cif,0.623197,3240.87,3.05413e-06
14060N2.cif,0.566808,2738.83,3.40852e-06
22180N2.cif,0.533439,2183.77,1.2449e-05
19311N2.cif,0.555858,5872.39,0.000177484
2245tN2.cif,0.554708,10357.6,2.52401e-05
19481N2.cif,0.63388,5246.74,3.8464e-06
19101N2.cif,0.784279,2031.73,2.25939e-06
21200N2.cif,0.520441,7727.47,0.000236181
20631N2.cif,0.486739,12378.6,3.83634e-06
22105N2.cif,0.650801,1773.13,4.86499e-06
20050N2.cif,0.436575,12003.2,1.82206e-05
19120N2.cif,0.585376,3207.03,0.001642
15061N2.cif,0.558747,5333.33,4.22582e-06
07011N3.cif,0.383123,17298.4,5.61917e-06
15140N2.cif,0.376743,6454.37,6.02984e-06
21181N2.cif,0.433991,4471.17,3.86402e-06
16120N2.cif,0.76133,1472.12,0.000514051
21700N2.cif,0.240293,31353.0,0.000142561
18112N2.cif,0.624446,5160.5,1.83033e-05
15180N2.cif,0.611442,5558.63,1.51445e-05
21340N2.cif,0.326735,9412.86,3.58609e-06
13180N3.cif,1.03682,450.889,3.11391e-05
20051N2.cif,0.462854,11864.9,1.14452e-05
16230N2.cif,0.844996,913.984,0.000334173
22532N2.cif,0.570138,8734.83,9.67409e-06
19353N2.cif,0.660811,3223.73,2.94084e-06
15171N2.cif,0.715945,1686.46,1.1354e-05
22230N2.cif,0.458169,12888.9,4.28718e-06
15210N2.cif,0.583729,3339.49,5.46786e-06
21830N2.cif,0.757142,5283.8,9.07921e-05
07012N3.cif,0.180984,78535.8,5.08344e-06
22480N2.cif,0.229357,35285.1,6.28127e-05
16121N2.cif,0.888622,4845.18,0.000661892
17191N2.cif,0.592438,1837.39,3.39156e-06
15010N2.cif,0.514815,3922.66,5.3877e-06
22002N2.cif,0.800222,9037.8,2.28174e-06
15100N2.cif,0.41487,8219.54,3.22673e-05
19520N2.cif,0.486953,6262.69,4.36329e-06
16350N2.cif,0.509863,5797.09,5.33496e-06
19110N2.cif,0.418042,6173.85,0.00021979
21711N2.cif,1.0986,1007.74,1.9013e-05
21081N2.cif,0.572608,4203.93,1.66667e-05
13100N2.cif,0.48227,6777.91,3.45806e-06
13076N2.cif,0.973686,1416.45,9.42163e-06
2016bN2.cif,0.401406,6775.96,2.31114e-05
21820N2.cif,0.673666,2658.46,0.0196567
22552N2.cif,0.34914,9917.74,4.0045e-06
20540N2.cif,0.89044,1524.95,8.87718e-06
2245xN2.cif,1.27998,306.838,8.38882e-05
16132N3.cif,0.133373,30294.1,6.57501e-06
13072N2.cif,0.598194,3221.05,0.00512373
22457N2.cif,0.626065,7712.85,1.32885e-05
18083N2.cif,0.589894,6904.56,3.83641e-05
21421N2.cif,0.669549,3738.79,5.32378e-06
07000N2.cif,0.458062,5915.44,5.04276e-06
16450N2.cif,0.471821,3953.5,5.61517e-06
16332N3.cif,0.284828,11029.5,1.5828e-05
21422N2.cif,0.762469,2991.62,3.67446e-06
21013N2.cif,0.396938,7591.89,0.0002143
14072N2.cif,0.429701,8612.05,6.32272e-06
20473N2.cif,0.240713,26308.5,2.626e-05
20191N2.cif,0.377262,8235.39,4.47497e-06
21353N2.cif,0.278472,15176.8,1.84075e-05
19041N2.cif,0.521034,5556.79,0.0310659
19080N2.cif,0.575762,3434.29,0.00236499
20380N2.cif,0.654646,3154.52,4.80817e-05
19441N2.cif,1.06779,661.207,3.46708e-06
20564N3.cif,0.568549,3767.19,1.27219e-05
08011N2.cif,0.98834,714.208,1.766e-06
17152N2.cif,0.477578,5916.25,1.74789e-05
21650N2.cif,1.29686,1104.9,2.50515e-06
18161N2.cif,0.717263,2001.83,2.9289e-06
19230N2.cif,0.511933,10205.8,5.41473e-06
16173N2.cif,0.370163,16946.5,1.4342e-05
21014N2.cif,0.399588,6812.35,2.9435e-06
20201N2.cif,0.600893,5525.49,5.94526e-05
21761N2.cif,0.671681,5024.1,2.9821e-06
21620N2.cif,0.531772,3209.19,4.14148e-06
19003N3.cif,0.280825,9141.79,5.19235e-06
21312N2.cif,0.242289,15338.2,4.56579e-06
21440N2.cif,0.491623,6628.03,8.00628e-06
11030N2.cif,0.552143,3102.9,4.56957e-06
22530N2.cif,0.329467,10492.0,7.04161e-05
15185N2.cif,0.569687,5710.75,4.4621e-06
21033N2.cif,0.675273,2165.51,5.63502e-06
21680N2.cif,0.723976,2142.9,3.68751e-06
21781N2.cif,0.64736,3324.47,3.21477e-06
15184N2.cif,0.534625,7719.78,2.7227e-05
19242N3.cif,0.940009,912.756,1.95201e-06
14073N2.cif,0.493057,7172.38,1.16338e-05
21390N2.cif,0.504451,3806.86,0.00444665
11000N2.cif,0.596628,3388.86,6.7789e-05
17163N3.cif,0.311547,17331.0,9.97636e-06
20391N2.cif,0.494729,11387.4,4.38861e-06
10000N2.cif,0.9605,683.15,2.86109e-06
20161N2.cif,0.631882,4786.43,3.65782e-06
17130N2.cif,0.533888,14477.8,3.24643e-06
10010N2.cif,0.759474,1925.25,2.76586e-06
13012N2.cif,0.470374,8612.17,2.61636e-06
20070N2.cif,0.38141,2989.21,3.85918e-06
20521N3.cif,0.648408,3901.32,0.000569613
19280N2.cif,0.564953,8931.17,9.25311e-06
16311N2.cif,0.879131,1864.5,1.04024e-05
16051N2.cif,0.614475,6728.26,1.65054e-05
