,Density,PoreAvgVolume,henry_coeff
2245fN2.cif,0.701006,878.064,4.86231e-05
22000N2.cif,0.502401,6662.27,1.62463e-05
20490N2.cif,0.565759,5415.1,5.83504e-05
21451N2.cif,0.341797,9020.88,1.98406e-05
20491N2.cif,0.633766,4695.57,0.000109678
13181N3.cif,0.938079,513.182,0.0014552
14080N2.cif,0.363681,8384.68,1.62172e-05
15050N2.cif,1.04417,484.478,7.69871e-05
19102N2.cif,0.600086,3680.81,4.443e-05
19430N2.cif,0.561339,5426.14,4.20139e-05
20410N2.cif,0.501955,8235.71,0.000148304
22181N2.cif,0.563201,1796.61,4.12557e-05
20150N2.cif,0.570294,5300.03,7.5698e-05
17180N2.cif,0.615116,3352.88,6.14454e-05
22040N2.cif,0.463885,10955.9,3.17491e-05
19182N2.cif,0.360794,9527.21,2.92303e-05
21131N2.cif,0.623197,3213.61,1.96079e-05
14060N2.cif,0.566808,2719.15,4.25073e-05
22180N2.cif,0.533439,2152.6,2.95629e-05
19311N2.cif,0.555858,5836.87,6.16984e-05
2245tN2.cif,0.554708,10040.6,7.17742e-05
19481N2.cif,0.63388,5155.93,8.906e-05
19101N2.cif,0.784279,2021.8,3.4766e-05
21200N2.cif,0.520441,7694.49,4.63639e-05
20631N2.cif,0.486739,12317.0,6.47907e-05
22105N2.cif,0.650801,1753.67,0.000106206
20050N2.cif,0.436575,11961.6,2.71931e-05
19120N2.cif,0.585376,3188.96,7.64918e-05
15061N2.cif,0.558747,5281.79,4.40132e-05
07011N3.cif,0.383123,17252.7,3.32441e-05
15140N2.cif,0.376743,6435.54,4.41857e-05
21181N2.cif,0.433991,4451.85,3.10468e-05
16120N2.cif,0.76133,1459.04,3.53834e-05
21700N2.cif,0.240293,31278.8,2.63079e-05
18112N2.cif,0.624446,5140.64,5.57956e-05
15180N2.cif,0.611442,5538.47,2.57762e-05
21340N2.cif,0.326735,9385.83,2.39e-05
13180N3.cif,1.03682,408.001,0.00298908
20051N2.cif,0.462854,11820.6,2.66584e-05
16230N2.cif,0.844996,904.193,4.92774e-05
22532N2.cif,0.570138,8677.0,2.56486e-05
19353N2.cif,0.660811,3194.19,5.25068e-05
15171N2.cif,0.715945,1611.85,8.72654e-05
22230N2.cif,0.458169,12836.9,3.62083e-05
15210N2.cif,0.583729,3323.41,5.67974e-05
21830N2.cif,0.757142,5241.23,2.41271e-05
07012N3.cif,0.180984,78489.1,1.73448e-05
22480N2.cif,0.229357,35224.6,2.36564e-05
16121N2.cif,0.888622,4778.52,5.83071e-05
17191N2.cif,0.592438,1828.03,3.54185e-05
15010N2.cif,0.514815,3901.78,5.98086e-05
22002N2.cif,0.800222,8841.6,5.73538e-05
15100N2.cif,0.41487,8194.91,2.67106e-05
19520N2.cif,0.486953,6230.86,3.04654e-05
16350N2.cif,0.509863,5775.15,2.58563e-05
19110N2.cif,0.418042,6142.86,4.38439e-05
21711N2.cif,1.0986,994.183,1.53822e-05
21081N2.cif,0.572608,4188.89,4.06583e-05
13100N2.cif,0.48227,6743.34,3.80867e-05
13076N2.cif,0.973686,1403.86,1.12507e-05
2016bN2.cif,0.401406,6757.61,3.70831e-05
21820N2.cif,0.673666,2636.69,9.79419e-05
22552N2.cif,0.34914,9894.79,1.84373e-05
20540N2.cif,0.89044,1484.86,0.000134828
2245xN2.cif,1.27998,285.674,0.00507974
16132N3.cif,0.133373,30275.4,1.89031e-05
13072N2.cif,0.598194,3204.08,3.32942e-05
22457N2.cif,0.626065,7509.26,0.000374713
18083N2.cif,0.589894,6848.98,3.99435e-05
21421N2.cif,0.669549,3678.65,7.33319e-05
07000N2.cif,0.458062,5899.16,2.72548e-05
