,Density,PoreAvgVolume,henry_coeff
2245fN2.cif,0.701006,872.118,1.05329e-05
22000N2.cif,0.502401,6653.48,3.80799e-06
20490N2.cif,0.565759,5357.41,7.83947e-06
21451N2.cif,0.341797,9001.95,6.03704e-06
20491N2.cif,0.633766,4671.93,1.36158e-05
13181N3.cif,0.938079,496.601,9.0572e-05
14080N2.cif,0.363681,8371.41,5.31263e-06
15050N2.cif,1.04417,481.387,1.31478e-05
19102N2.cif,0.600086,3674.1,9.07391e-06
19430N2.cif,0.561339,5411.55,9.278e-06
20410N2.cif,0.501955,8202.02,1.79918e-05
22181N2.cif,0.563201,1787.86,9.1121e-06
20150N2.cif,0.570294,5278.86,1.21939e-05
17180N2.cif,0.615116,3340.6,7.97179e-06
22040N2.cif,0.463885,10771.2,6.46325e-06
19182N2.cif,0.360794,9512.85,6.89306e-06
21131N2.cif,0.623197,3204.1,4.71563e-06
14060N2.cif,0.566808,2709.24,8.67428e-06
22180N2.cif,0.533439,2141.37,6.09392e-06
19311N2.cif,0.555858,5818.87,9.40323e-06
2245tN2.cif,0.554708,9935.51,9.70908e-06
19481N2.cif,0.63388,5087.92,1.32257e-05
19101N2.cif,0.784279,2016.49,8.08006e-06
21200N2.cif,0.520441,7681.63,8.24396e-06
20631N2.cif,0.486739,12285.0,1.11716e-05
22105N2.cif,0.650801,1742.1,1.5492e-05
20050N2.cif,0.436575,11939.1,6.93192e-06
19120N2.cif,0.585376,3179.62,8.09201e-06
15061N2.cif,0.558747,5252.63,9.6547e-06
07011N3.cif,0.383123,17224.3,1.09185e-05
15140N2.cif,0.376743,6425.19,1.02082e-05
21181N2.cif,0.433991,4436.25,7.43971e-06
16120N2.cif,0.76133,1451.31,6.95186e-06
21700N2.cif,0.240293,31234.7,7.80468e-06
18112N2.cif,0.624446,5128.62,9.80336e-06
15180N2.cif,0.611442,5526.95,6.01013e-06
21340N2.cif,0.326735,9372.13,7.18631e-06
13180N3.cif,1.03682,361.268,0.000144521
20051N2.cif,0.462854,11795.1,6.78125e-06
16230N2.cif,0.844996,897.371,9.76971e-06
22532N2.cif,0.570138,8633.43,5.69555e-06
19353N2.cif,0.660811,3175.23,1.04918e-05
15171N2.cif,0.715945,1564.95,1.12626e-05
22230N2.cif,0.458169,12807.9,7.83586e-06
15210N2.cif,0.583729,3313.94,1.0579e-05
21830N2.cif,0.757142,5206.71,3.93391e-06
07012N3.cif,0.180984,78473.3,7.8792e-06
22480N2.cif,0.229357,35192.3,7.64526e-06
16121N2.cif,0.888622,4745.08,7.74579e-06
17191N2.cif,0.592438,1823.02,8.95957e-06
15010N2.cif,0.514815,3891.41,1.07066e-05
22002N2.cif,0.800222,8731.56,1.06718e-05
15100N2.cif,0.41487,8181.46,5.21945e-06
19520N2.cif,0.486953,6217.55,7.09888e-06
16350N2.cif,0.509863,5767.07,6.73624e-06
19110N2.cif,0.418042,6129.23,6.42934e-06
21711N2.cif,1.0986,987.811,2.86146e-06
21081N2.cif,0.572608,4179.55,6.6832e-06
13100N2.cif,0.48227,6722.96,9.05596e-06
13076N2.cif,0.973686,1393.77,3.41312e-06
2016bN2.cif,0.401406,6745.41,6.84526e-06
21820N2.cif,0.673666,2624.96,7.14108e-06
22552N2.cif,0.34914,9884.24,6.00702e-06
20540N2.cif,0.89044,1461.38,1.58355e-05
2245xN2.cif,1.27998,274.57,0.000164596
16132N3.cif,0.133373,30268.5,8.47026e-06
13072N2.cif,0.598194,3194.96,6.34434e-06
22457N2.cif,0.626065,7322.24,4.1118e-05
18083N2.cif,0.589894,6820.66,8.49254e-06
21421N2.cif,0.669549,3655.07,1.27389e-05
07000N2.cif,0.458062,5887.91,7.37954e-06
16450N2.cif,0.471821,3901.88,9.7713e-06
16332N3.cif,0.284828,11003.4,6.61369e-06
21422N2.cif,0.762469,2953.27,1.09958e-05
21013N2.cif,0.396938,7545.34,6.5752e-06
14072N2.cif,0.429701,8546.23,8.23657e-06
20473N2.cif,0.240713,26264.2,6.51933e-06
20191N2.cif,0.377262,8197.3,6.67704e-06
21353N2.cif,0.278472,15164.4,9.05079e-06
19041N2.cif,0.521034,5511.92,4.6106e-06
19080N2.cif,0.575762,3380.82,1.23072e-05
20380N2.cif,0.654646,3136.44,6.06824e-06
19441N2.cif,1.06779,440.615,7.57757e-06
20564N3.cif,0.568549,3711.38,1.64822e-05
08011N2.cif,0.98834,646.427,7.6523e-06
17152N2.cif,0.477578,5869.69,6.93414e-06
21650N2.cif,1.29686,1074.71,3.68435e-06
18161N2.cif,0.717263,1981.72,7.82262e-06
19230N2.cif,0.511933,10123.3,8.95342e-06
16173N2.cif,0.370163,16877.6,7.97883e-06
21014N2.cif,0.399588,6779.66,6.60786e-06
20201N2.cif,0.600893,5487.69,1.25597e-05
21761N2.cif,0.671681,4978.19,1.50426e-05
21620N2.cif,0.531772,3163.96,8.73146e-06
19003N3.cif,0.280825,9114.87,7.67766e-06
21312N2.cif,0.242289,15294.8,7.36317e-06
21440N2.cif,0.491623,6494.08,1.10277e-05
11030N2.cif,0.552143,3064.81,8.50679e-06
22530N2.cif,0.329467,10455.1,6.0204e-06
15185N2.cif,0.569687,5674.31,4.67384e-06
21033N2.cif,0.675273,2110.37,3.14435e-05
21680N2.cif,0.723976,2055.83,8.46292e-06
21781N2.cif,0.64736,3292.19,9.48155e-06
15184N2.cif,0.534625,7685.72,4.83502e-06
19242N3.cif,0.940009,856.261,2.44692e-05
14073N2.cif,0.493057,7120.13,8.07988e-06
21390N2.cif,0.504451,3776.18,5.75518e-06
11000N2.cif,0.596628,3310.63,1.95026e-05
17163N3.cif,0.311547,17205.0,1.27894e-05
20391N2.cif,0.494729,11329.1,7.20652e-06
10000N2.cif,0.9605,662.504,1.42013e-05
20161N2.cif,0.631882,4695.22,4.59532e-06
17130N2.cif,0.533888,14369.6,6.9196e-06
10010N2.cif,0.759474,1903.62,5.88565e-06
13012N2.cif,0.470374,8574.18,5.59106e-06
20070N2.cif,0.38141,2976.62,1.25343e-05
20521N3.cif,0.648408,3827.76,1.74064e-05
19280N2.cif,0.564953,8801.04,1.41957e-05
16311N2.cif,0.879131,1770.59,3.51651e-05
16051N2.cif,0.614475,6682.57,7.85302e-06
15031N2.cif,0.463394,4701.93,7.50779e-06
20250N2.cif,0.320416,9068.72,7.09106e-06
21560N3.cif,0.789078,3492.25,7.50431e-06
21110N3.cif,0.34437,15397.2,1.05847e-05
13141N2.cif,0.818447,1293.28,6.4857e-06
21823N2.cif,0.864519,2037.72,1.48846e-05
08010N2.cif,1.14317,207.931,5.40742e-06
20360N2.cif,0.43331,5908.79,4.75388e-06
15183N2.cif,0.578754,5903.37,5.06442e-06
12060N2.cif,0.818509,7551.75,5.39069e-06
22411N2.cif,0.386197,5090.2,7.9009e-06
20650N2.cif,0.812619,1907.24,1.78088e-05
17060N2.cif,0.751486,3508.29,1.32508e-05
21860N2.cif,0.457014,12029.5,7.58987e-06
21201N2.cif,0.579233,3116.13,2.07045e-05
19260N2.cif,0.840886,826.646,9.33243e-06
19341N2.cif,0.718609,1025.69,1.32813e-05
12023N2.cif,0.576825,5975.34,4.55729e-06
16055N2.cif,0.567522,7914.36,7.76997e-06
19270N2.cif,0.667973,3380.15,8.27321e-06
18121N3.cif,0.992781,1085.11,4.86039e-05
2245bN2.cif,0.63906,2700.22,7.48472e-06
21250N2.cif,0.739034,2360.41,6.29164e-06
22171N2.cif,0.477114,5376.42,6.99296e-06
16110N3.cif,0.176974,16258.1,8.15007e-06
20311N2.cif,0.280503,10192.7,6.2443e-06
21010N2.cif,0.41562,6342.25,7.41425e-06
21070N2.cif,0.915235,1289.8,6.68775e-06
19350N2.cif,0.782235,2177.4,1.47529e-05
22450N2.cif,0.843071,2144.61,7.41319e-05
21470N2.cif,0.719769,4281.39,1.33158e-05
21426N3.cif,0.240434,4350.41,8.72088e-06
22341N2.cif,1.04866,2337.03,5.28767e-06
20180N2.cif,0.558898,3209.89,4.98229e-06
22271N2.cif,0.524265,8086.18,5.35699e-06
15190N2.cif,1.10031,434.215,1.18129e-05
19453N2.cif,0.338466,14032.4,6.38543e-06
19030N2.cif,0.990703,1969.35,5.08686e-06
20220N2.cif,0.539296,4282.31,8.9151e-06
19522N2.cif,0.580412,5383.54,8.33543e-06
18060N2.cif,0.655476,2764.15,8.54863e-06
18133N3.cif,0.601192,6856.65,1.5904e-05
18110N2.cif,0.525343,5967.92,9.59626e-06
21291N3.cif,0.377397,17675.2,1.47995e-05
17220N2.cif,0.573674,5082.36,1.26561e-05
19351N2.cif,0.59269,4376.03,1.74536e-05
14070N2.cif,0.466224,8699.02,8.51037e-06
16030N2.cif,0.441747,5714.35,7.61459e-06
13123N2.cif,0.616965,3034.1,8.86129e-06
20120N2.cif,0.847623,1311.06,2.78976e-05
20421N2.cif,0.970835,985.919,3.47421e-06
17040N2.cif,0.700464,5602.71,9.58994e-06
18041N3.cif,1.14321,660.117,9.38875e-06
12011N2.cif,0.639688,12337.2,7.24465e-06
16010N2.cif,0.806233,1293.54,1.42551e-05
16041N2.cif,0.706854,2001.86,2.198e-05
19364N2.cif,0.444202,8255.41,8.41639e-06
20370N3.cif,0.318408,9185.37,9.7814e-06
21310N2.cif,0.436662,10492.4,1.00942e-05
16050N2.cif,0.810656,2226.64,6.38468e-06
21034N2.cif,0.682493,1998.09,1.5894e-05
21150N2.cif,0.987896,756.54,1.39864e-06
11040N2.cif,0.344509,9646.67,7.28329e-06
22441N2.cif,0.5433,3271.53,5.84511e-06
12020N2.cif,0.747682,2809.72,6.40677e-06
221012N2.cif,0.557107,7191.69,1.21465e-05
15253N2.cif,0.499114,3317.31,6.12112e-06
12001N2.cif,0.848478,1185.02,1.1233e-05
18040N3.cif,0.821216,2555.04,3.51705e-05
21420N2.cif,0.907024,1419.5,1.40026e-05
21082N2.cif,0.489055,6509.58,6.18965e-06
19390N2.cif,0.702818,1511.11,8.33319e-06
16273N2.cif,0.49464,8981.59,7.71188e-06
21060N2.cif,0.614594,5034.78,3.39534e-06
13122N2.cif,0.402596,5712.63,7.55691e-06
22520N2.cif,0.393334,15618.3,8.43624e-06
20310N2.cif,0.316076,7203.97,8.28931e-06
16140N2.cif,0.533736,7243.22,1.11083e-05
19363N2.cif,0.406583,8945.03,6.88065e-06
20021N2.cif,0.607219,3160.78,6.94389e-06
17181N2.cif,0.571852,3463.92,1.07454e-05
21053N2.cif,0.379951,18481.9,1.19225e-05
21120N2.cif,0.386535,8860.51,6.38105e-06
15060N2.cif,0.668249,3501.81,1.14516e-05
21395N2.cif,0.367886,10176.9,4.95951e-06
08012N2.cif,0.874709,1002.57,9.72771e-06
16251N3.cif,0.294407,16952.8,9.37222e-06
21530N2.cif,0.658919,3490.19,8.73128e-06
