,Density,PoreAvgVolume,henry_coeff
2245fN2.cif,0.701006,864.661,5.6951e-05
22000N2.cif,0.502401,6637.24,1.33867e-05
20490N2.cif,0.565759,5248.22,4.32258e-05
21451N2.cif,0.341797,8966.59,2.00917e-05
20491N2.cif,0.633766,4634.03,0.000133778
13181N3.cif,0.938079,230.094,0.000668117
14080N2.cif,0.363681,8349.3,1.68881e-05
15050N2.cif,1.04417,475.231,0.000110984
19102N2.cif,0.600086,3661.8,4.88328e-05
19430N2.cif,0.561339,5386.52,4.838e-05
20410N2.cif,0.501955,8145.54,0.000166015
22181N2.cif,0.563201,1774.54,4.31629e-05
20150N2.cif,0.570294,5236.5,8.67394e-05
17180N2.cif,0.615116,3322.78,3.99545e-05
22040N2.cif,0.463885,10496.5,2.0309e-05
19182N2.cif,0.360794,9482.86,2.62938e-05
21131N2.cif,0.623197,3176.61,1.99405e-05
14060N2.cif,0.566808,2689.43,4.77015e-05
22180N2.cif,0.533439,2116.03,2.37944e-05
19311N2.cif,0.555858,5789.25,4.93359e-05
2245tN2.cif,0.554708,9751.71,3.99473e-05
19481N2.cif,0.63388,4986.3,8.85939e-05
19101N2.cif,0.784279,2006.45,4.18763e-05
21200N2.cif,0.520441,7656.98,4.43887e-05
20631N2.cif,0.486739,12225.2,7.41642e-05
22105N2.cif,0.650801,1725.18,0.000127588
20050N2.cif,0.436575,11903.2,2.86357e-05
19120N2.cif,0.585376,3158.6,3.91233e-05
15061N2.cif,0.558747,5206.38,5.2116e-05
07011N3.cif,0.383123,17185.0,3.46163e-05
15140N2.cif,0.376743,6405.02,4.63163e-05
21181N2.cif,0.433991,4417.77,3.12416e-05
16120N2.cif,0.76133,1441.52,3.44674e-05
21700N2.cif,0.240293,31173.6,1.88646e-05
18112N2.cif,0.624446,5105.45,5.77698e-05
15180N2.cif,0.611442,5507.74,2.86565e-05
21340N2.cif,0.326735,9349.95,2.57213e-05
20051N2.cif,0.462854,11757.6,2.89979e-05
16230N2.cif,0.844996,889.726,5.83085e-05
22532N2.cif,0.570138,8555.76,3.00167e-05
19353N2.cif,0.660811,3149.4,6.15191e-05
15171N2.cif,0.715945,1482.67,7.40006e-05
22230N2.cif,0.458169,12760.2,3.95282e-05
15210N2.cif,0.583729,3300.72,6.37365e-05
21830N2.cif,0.757142,5158.95,1.64773e-05
07012N3.cif,0.180984,78426.6,1.61572e-05
22480N2.cif,0.229357,35138.5,1.80425e-05
16121N2.cif,0.888622,4683.97,4.58293e-05
17191N2.cif,0.592438,1811.96,3.89929e-05
15010N2.cif,0.514815,3876.06,6.73569e-05
22002N2.cif,0.800222,8553.55,7.34958e-05
15100N2.cif,0.41487,8159.88,1.90762e-05
19520N2.cif,0.486953,6194.64,3.43796e-05
16350N2.cif,0.509863,5752.97,2.77262e-05
19110N2.cif,0.418042,6105.13,2.65558e-05
21711N2.cif,1.0986,974.613,1.34119e-05
21081N2.cif,0.572608,4166.28,3.32372e-05
13100N2.cif,0.48227,6696.17,4.15292e-05
13076N2.cif,0.973686,1378.48,1.41976e-05
2016bN2.cif,0.401406,6727.73,2.77897e-05
21820N2.cif,0.673666,2599.77,4.20298e-05
22552N2.cif,0.34914,9864.5,2.03733e-05
20540N2.cif,0.89044,1397.01,0.000128424
