,CH4_1.0,CH4_5.8,CH4_20.0,CH4_35.0,CH4_50.0,CH4_65.0,Density,PoreAvgVolume,henry_coeff
2245fN2.cif,0.95386078059853,4.6419279666133,9.2062863825425,11.006939376872,11.992087309696,12.619932199211,0.701006,869.059,9.56983e-06
22000N2.cif,0.34451497536786,1.7780958129722,5.138735126446,7.8100558188055,9.9831576806227,11.804825225575,0.502401,6649.14,3.53747e-06
20490N2.cif,0.61501306079585,2.4987826669838,5.6309194848722,7.7516057000659,9.3040532892975,10.536658335759,0.565759,5331.77,6.69193e-06
21451N2.cif,0.5579386423176,2.9308714395793,8.6193399276262,12.940497583643,16.319450232457,19.246189775639,0.341797,8997.67,5.5768e-06
20491N2.cif,0.96700371735661,3.0593589999567,5.6681788973483,7.4364834276922,8.660327577808,9.71645782081,0.633766,4665.46,1.22804e-05
13181N3.cif,3.6054754500759,5.941359447811,6.6652998753227,6.8320513883104,7.044162554242,7.1946247399776,0.938079,475.087,7.36024e-05
14080N2.cif,0.48393339568699,2.6090050891554,7.9266261159567,11.940730943856,15.23800401959,17.846858137468,0.363681,8368.12,4.92929e-06
15050N2.cif,1.087705381384,3.8265219462187,5.7454173854108,6.4615745352826,6.7778801676766,7.0051670166999,1.04417,479.634,1.21654e-05
19102N2.cif,0.76494463406394,3.4680394342698,7.7719193188723,10.412678242148,12.259502791745,13.582419076065,0.600086,3671.69,8.24873e-06
19430N2.cif,0.79748719051598,3.6994971350621,8.7641449455783,11.746119641324,13.784986693625,15.139524687153,0.561339,5407.14,8.38418e-06
20410N2.cif,1.3809609346737,4.8027765396198,9.4544792231579,12.226581065011,14.117391792799,15.717298741324,0.501955,8190.23,1.59037e-05
22181N2.cif,0.78346386317536,3.9887068303533,9.4792320235576,12.493931932909,14.296008156797,15.492089972553,0.563201,1784.1,8.22583e-06
20150N2.cif,0.9872652354647,3.7162606165565,7.246517616673,9.3828870366289,10.978795365721,12.336074626205,0.570294,5270.33,1.08796e-05
17180N2.cif,0.69797918101781,3.4504074978049,8.1850257959288,10.762114607431,12.487850051987,13.560257316088,0.615116,3336.71,7.30115e-06
22040N2.cif,0.5551435343226,2.9500658423028,8.084290964718,11.295734559654,13.547945308313,15.202557423288,0.463885,10717.2,5.48451e-06
19182N2.cif,0.61602624605549,3.110873140148,8.6238332833711,12.7708598249,15.857548346917,18.526891036791,0.360794,9504.35,6.28148e-06
21131N2.cif,0.40710692127725,2.0954569832144,5.5920589296752,7.9346357949288,9.5941203919138,10.865205262978,0.623197,3198.15,4.25109e-06
14060N2.cif,0.73112539221615,3.3457639991744,8.1156470819203,11.079789062038,13.109309490935,14.475247910428,0.566808,2703.42,7.77201e-06
22180N2.cif,0.53152172996662,2.8479337633134,7.8431194700482,11.158423488756,13.500435274496,15.00159899131,0.533439,2134.37,5.46868e-06
19311N2.cif,0.79096033564416,3.6843639567653,8.6479679042582,11.610602515411,13.596560169988,15.074104947389,0.555858,5815.16,8.43314e-06
2245tN2.cif,0.8190283767913,4.2564758845519,10.526246954793,13.612069498868,15.357119635341,16.486926944843,0.554708,9891.33,8.33226e-06
19481N2.cif,0.98878586585216,3.6420487852302,7.1675921040286,9.2330516065156,10.677571412939,11.680115616936,0.63388,5069.88,1.12791e-05
19101N2.cif,0.69938760655173,3.3495558434102,7.1995830122347,9.1713834090956,10.334173895404,11.196555671656,0.784279,2014.42,7.33763e-06
21200N2.cif,0.69699282655818,3.2589681695368,7.9258424217502,11.098119407967,13.38757454164,15.024457622775,0.520441,7675.08,7.49537e-06
20631N2.cif,0.89125065098311,3.7857112505978,9.0030616217162,12.415480292927,14.619991555506,16.448212054627,0.486739,12269.1,9.89421e-06
22105N2.cif,1.1285975100449,4.35654947819,8.470512821871,10.55780897338,11.828969128785,12.524629847957,0.650801,1737.67,1.37023e-05
20050N2.cif,0.61271592523326,3.0765138347904,8.2893155608274,11.91874846302,14.691433185874,16.849478735659,0.436575,11931.2,6.34694e-06
19120N2.cif,0.7038181089731,3.3527824329506,8.1103721206266,11.075740264395,12.986170560368,14.421076586745,0.585376,3178.7,7.24125e-06
15061N2.cif,0.82858749594441,3.8973096429194,8.9283881509004,11.856957083211,13.825044435246,15.109160362846,0.558747,5237.46,8.78743e-06
07011N3.cif,1.0346167283808,6.1679205396709,19.078323374477,25.202711626907,28.338362934379,30.168329901622,0.383123,17217.0,1.01958e-05
15140N2.cif,0.8944128095315,4.3036101758895,10.821915300504,14.925449124851,17.975361295477,20.362223078528,0.376743,6422.27,9.20977e-06
21181N2.cif,0.64082306708306,3.294727749342,8.6033871090092,12.436000581844,15.105425003121,17.332998497681,0.433991,4432.33,6.72412e-06
16120N2.cif,0.62271060014196,3.1492357199016,7.1591661839509,9.0275178559862,10.106085820931,10.864677075698,0.76133,1449.38,6.37758e-06
21700N2.cif,0.73388687044615,4.0905666515921,13.930786282952,22.967174316948,30.107067923971,35.74384017675,0.240293,31224.3,7.30743e-06
18112N2.cif,0.81893060224508,3.7112003687452,8.4996871118229,11.286898711016,12.883186476239,14.156371781346,0.624446,5121.91,8.81162e-06
15180N2.cif,0.52815109879221,2.5169972894534,6.2593550639519,8.6963913854967,10.468891313742,11.944956786574,0.611442,5521.06,5.49539e-06
21340N2.cif,0.64447043947295,3.3973036396489,9.7416292363655,14.320660916233,17.925219590617,20.778033786436,0.326735,9367.89,6.63345e-06
13180N3.cif,1.8060803539808,2.820728215467,3.2225488181145,3.3845487702547,3.4381955012233,3.467310238025,1.03682,183.339,5.75293e-05
20051N2.cif,0.59864003892786,2.9568579627279,7.9140768277771,11.302357214885,13.917068235969,16.037243841637,0.462854,11787.2,6.2077e-06
16230N2.cif,0.87345150117862,4.0527823995769,7.5938334332083,8.9401576007257,9.6385490686099,10.063472744082,0.844996,895.625,8.92656e-06
22532N2.cif,0.50380589237266,2.4205779853511,5.8494319235649,7.9702925817984,9.4365067458441,10.581607062421,0.570138,8610.03,5.16848e-06
19353N2.cif,0.88751971366018,4.0108358369656,8.6730920639806,10.945249609224,12.205786202852,13.069864456724,0.660811,3169.09,9.3736e-06
15171N2.cif,0.92986776041573,4.0591214370928,6.7706350485739,7.6546373117464,8.0923112102875,8.4308327623049,0.715945,1551.1,9.7763e-06
22230N2.cif,0.6653322288459,3.1745499963951,7.9626752934576,11.217489387973,13.647584997265,15.583901051713,0.458169,12797.9,7.05864e-06
15210N2.cif,0.88747736409354,3.8135024157846,8.414469216751,11.053135116476,13.01097859603,14.402474043147,0.583729,3310.67,9.47334e-06
21830N2.cif,0.34504957775772,1.7357756908911,4.5796905753047,6.4241407980795,7.6669254032322,8.601400734213,0.757142,5195.38,3.5446e-06
07012N3.cif,0.74439846898555,4.2479617102314,14.703091069685,24.945364027911,34.088470904261,41.987990166903,0.180984,78460.9,7.46844e-06
22480N2.cif,0.71980682880623,4.007844842421,13.545307177224,22.382534338064,29.682700405745,35.709354015155,0.229357,35181.6,7.16795e-06
16121N2.cif,0.65522627831061,3.0960658368421,6.4118668345618,7.792187222679,8.525051712794,8.9422603541045,0.888622,4732.04,6.96719e-06
