,cof,o2_298K_1bar,o2_298K_5bar,o2_298K_10bar,o2_298K_20bar,o2_298K_30bar,o2_298K_50bar,o2_298K_80bar,o2_298K_100bar,o2_298K_140bar,o2_298K_200bar,Density,PoreAvgVolume,henry_coeff
0,2245fN2.cif,0.29480193736783,1.434754349569,2.6426350175794,4.7582822925766,6.3402075582184,8.5625364934962,10.553578920091,11.412783516798,12.604288623035,13.770968963443,0.701006,893.789,3.0268e-06
1,22000N2.cif,0.16877594796739,0.82533485491463,1.6174113831903,2.969910834783,4.2378561082347,6.6058804562423,9.6123212152873,11.254698212425,14.242699057594,17.573360389639,0.502401,6696.27,1.69366e-06
2,20490N2.cif,0.22854674100427,1.0271196659624,1.8348352053949,3.1779616125522,4.3884549387072,6.3059833228971,8.5505789635575,9.745933907732,11.577789849751,13.89208163278,0.565759,5540.57,2.28649e-06
3,21451N2.cif,0.2807241018507,1.3237167744921,2.5364334680082,4.940258567218,6.9908218278364,10.922469181318,15.627117834009,18.427951862548,22.981995442135,28.478397062125,0.341797,9064.21,2.76794e-06
4,20491N2.cif,0.27641977922311,1.2111077992244,2.109858454887,3.4830754220636,4.5070668614913,6.2264183706368,8.2020423904715,9.1910274853533,10.735440373684,12.507022093722,0.633766,4762.92,2.87414e-06
5,13181N3.cif,1.0462002266164,3.3136119590957,4.654438140324,5.7249664632503,6.3109034160055,6.957301489374,7.3826656393908,7.650587778859,7.9680132666081,8.2340937636183,0.938079,546.119,1.20883e-05
6,14080N2.cif,0.24545916671549,1.2150570953978,2.3142487681603,4.4652271327426,6.5073451419373,9.9406131438913,14.346438111555,16.789535832162,21.136341095315,26.258917297129,0.363681,8434.36,2.47886e-06
7,15050N2.cif,0.27557012549543,1.2203304771923,2.2212212008272,3.5634792815568,4.4595924038445,5.4954157973431,6.3851954599244,6.7623322383579,7.2677368828238,7.7659373019194,1.04417,496.907,2.79326e-06
8,19102N2.cif,0.27865659669182,1.2864013233077,2.4104695112962,4.3143387665282,5.867850174947,8.3588277970305,11.020663219297,12.456734141292,14.716981420454,17.058700979396,0.600086,3702.34,2.83634e-06
9,19430N2.cif,0.29248945667178,1.364304617994,2.5354781388955,4.7066094360663,6.3922680341747,9.0698673980572,11.984789986557,13.519718930376,15.859486729048,18.289150186388,0.561339,5472.87,2.94648e-06
10,20410N2.cif,0.41113129730089,1.8788007435206,3.2716014288245,5.6420539878849,7.513824081512,10.231212827025,13.249983233235,14.924316335184,17.535530350823,20.286370009308,0.501955,8311.24,4.31294e-06
11,22181N2.cif,0.29821217139278,1.3851435121156,2.6653690105308,4.8709046109486,6.6544755733433,9.5108226446706,12.449726225658,13.976375028327,16.081048723821,18.276779122152,0.563201,1823.16,2.98806e-06
12,20150N2.cif,0.31508566336965,1.382063331137,2.5275463889964,4.2986743653053,5.7722187902983,7.9346190284539,10.317892109015,11.689790874168,13.70872779274,15.994103397167,0.570294,5378.59,3.16125e-06
13,17180N2.cif,0.260427961287,1.1966582494069,2.2843474756725,4.2019850309711,5.7089820271856,8.2197746795936,10.865823845615,12.171302472067,14.150673894725,16.088447278959,0.615116,3379.38,2.56563e-06
14,22040N2.cif,0.3269437626738,1.5377666645226,2.8579690077468,5.3986278129198,7.3282106338296,10.560539787062,14.05343747388,15.875490496954,18.711379384951,21.865137222008,0.463885,11468.0,3.25681e-06
15,19182N2.cif,0.28397125492794,1.3808256533001,2.6074260152004,4.9811840444102,7.0259354863773,10.814152918093,15.221813386924,17.837049210265,22.057071670797,27.289458930794,0.360794,9567.82,2.89092e-06
16,21131N2.cif,0.16798810326787,0.80953419026888,1.5707880654934,2.8696769194059,4.0442696430978,6.0404266875684,8.2485377392196,9.5427925959908,11.573761687952,13.680472664224,0.623197,3249.62,1.71044e-06
17,14060N2.cif,0.2754894203322,1.2612818514486,2.3990564253852,4.3799114139327,5.9532185305453,8.6183744244684,11.490098364171,13.053841237519,15.318399130983,17.704852105976,0.566808,2748.78,2.7578e-06
18,22180N2.cif,0.2264433382458,1.0743891079609,2.056924361805,3.9184751703205,5.5599118685115,8.3180677217734,11.365478896953,13.066120025632,15.545202822469,18.203756053535,0.533439,2195.32,2.28019e-06
19,19311N2.cif,0.30166107835104,1.3916472127891,2.5492094444419,4.6109706017558,6.3795569083402,9.1167025692931,12.027353153944,13.565760340164,16.039017263085,18.546423016933,0.555858,5890.76,2.9902e-06
20,2245tN2.cif,0.3940188789228,1.8216292403024,3.3936045093849,5.9833301475206,8.032860645107,11.253826658729,14.609936141897,16.080870795756,18.260917576957,20.612516041568,0.554708,10539.4,4.08291e-06
21,19481N2.cif,0.31827387338104,1.4169678975224,2.4616326988091,4.204132389455,5.5817454503717,7.6110562846703,9.7388951409678,10.925001295521,12.699016564799,14.505181599897,0.63388,5273.11,3.21584e-06
22,19101N2.cif,0.24230230206171,1.1183491100685,2.1519131576061,3.8080422230601,5.1917076593746,7.202239596304,9.2214327251308,10.221028888143,11.721940660822,13.210370127532,0.784279,2036.96,2.4635e-06
23,21200N2.cif,0.26553319870357,1.250909361227,2.3106841237,4.3111932091444,6.0417075915123,8.7152875333709,11.83282065512,13.548141806379,16.24152386074,19.230437036601,0.520441,7741.52,2.71593e-06
24,20631N2.cif,0.32851886769524,1.485407384484,2.8315049541379,4.9812402643459,6.8734178770584,9.9151813756219,13.339082718651,15.155248278427,18.041840199889,21.307347850964,0.486739,12397.4,3.302e-06
25,22105N2.cif,0.35195445978063,1.5478029218608,2.8008920200497,4.7658851684041,6.225151157453,8.446138452426,10.655128365015,11.727656858325,13.334724974571,14.923178402213,0.650801,1780.14,3.6163e-06
26,20050N2.cif,0.26427774072842,1.2751720307729,2.3825663813562,4.5276630412288,6.4618190545585,9.6177806419207,13.333700970948,15.48141089886,18.837977510892,22.595754172286,0.436575,12021.5,2.6914e-06
27,19120N2.cif,0.26301674350212,1.274137094299,2.3145249905166,4.2948411556866,5.8853192039274,8.5088088887284,11.470041856629,12.874590662862,15.239520094371,17.602535610021,0.585376,3214.59,2.69086e-06
28,15061N2.cif,0.29970237911172,1.3729828693504,2.6473601767331,4.776947668885,6.4969928517267,9.2256111650987,12.120533896173,13.587537534668,15.765297867728,18.050817090273,0.558747,5357.28,3.00113e-06
29,07011N3.cif,0.4892217948861,2.3953939545531,4.7340083128608,8.9871715269438,12.883055385747,19.039282664108,25.324685419108,28.189667102556,32.278821429487,36.146505008179,0.383123,17315.3,4.89289e-06
